연도,1차 에너지 공급 석탄_소계(천toe),1차 에너지 공급 석탄_무연탄(천toe),1차 에너지 공급 석탄_유연탄(천toe),1차 에너지 공급 석유_소계(천toe),1차 에너지 공급 석유_에너지유(천toe),1차 에너지 공급 석유_LPG(천toe),1차 에너지 공급 석유_비에너지유(천toe),1차 에너지 공급 천연가스(천toe),1차 에너지 공급 수력(천toe),1차 에너지 공급 원자력(천toe),1차 에너지 공급 신재생(천toe),소비_산업(천toe),"소비_가정,상업(천toe)",소비_수송(천toe),소비_공공(천toe)
2000,42925,3096,39829,100618,59743,8644,32231,18924,1402,27241,2130,84237,32153,30945,2623
2001,45724,3680,42044,100827,59049,8676,33102,20787,1038,28033,2456,85562,32639,31910,2991
2002,49131,4070,45061,103034,58602,9398,35035,23096,1327,29776,2925,89755,34160,33765,3196
2003,51124,4562,46563,103073,57605,9140,36327,24194,1722,32418,3241,91400,34915,34634,3601
2004,53198,4369,48829,101085,53794,9186,38105,28351,1465,32679,3977,93650,34566,34635,3600
2005,54795,4770,50025,102197,53415,9484,39299,30355,1297,36695,3961,95211,36336,35534,4095
2006,56652,5172,51480,102555,51795,9689,41071,32004,1305,37187,4358,97839,35925,36522,3849
2007,59653,5580,54073,105718,50728,10127,44863,34663,1084,30731,4828,104348,35943,37059,4148
2008,66100,5927,60173,100373,45668,10647,44059,35671,1196,32456,5198,106338,36292,35756,4104
2009,68595,5687,62908,102534,45569,11079,45886,33908,1213,31771,5480,105464,35835,35892,4299
2010,77142,6044,71097,104499,46385,10924,47190,43008,1391,31948,6064,116160,37427,36903,4481
2011,83687,6827,76860,105459,44263,10303,50893,46284,1684,33265,6618,126545,37821,36842,4564
2012,80636,5382,75254,106133,43968,9912,52253,50185,1615,31719,8036,127702,38236,36783,4776
2013,81544,5500,76044,105693,43350,9701,52642,52523,1771,29283,8987,129405,37813,36961,5187
2014,84399,5226,79173,104702,41276,9343,54082,47773,1650,33002,10956,135117,35518,37241,5326
2015,85401,5593,79808,109094,44505,9303,55287,43613,1223,34765,12839,135385,37021,39851,5750
2016,81499,5687,75812,117605,48463,11166,57977,45518,1400,34181,13575,137912,38728,42271,6248
2017,86177,4524,81653,119400,47298,10729,61373,47536,1490,31615,15847,144260,39907,42796,6938
