시도,시군구,사고유형대분류,사고유형,발생건수,사망자수,부상자수,중상,경상,부상신고
서울,종로구,차대사람,횡단중,126,1,129,71,51,7
서울,종로구,차대사람,차도통행중,74,3,72,19,44,9
서울,종로구,차대사람,길가장자리구역통행중,35,0,35,7,23,5
서울,종로구,차대사람,보도통행중,28,0,32,11,14,7
서울,종로구,차대사람,기타,73,0,75,24,36,15
서울,종로구,차대차,정면충돌,23,0,35,13,18,4
서울,종로구,차대차,측면충돌,448,2,652,111,457,84
서울,종로구,차대차,후진중충돌,16,0,20,1,19,0
서울,종로구,차대차,추돌,211,0,372,38,304,30
서울,종로구,차대차,기타,59,0,80,15,50,15
서울,종로구,차량단독,전도,11,0,12,3,2,7
서울,종로구,차량단독,공작물충돌,8,0,8,1,4,3
서울,종로구,차량단독,기타,22,0,24,6,17,1
서울,중구,차대사람,횡단중,116,1,124,62,46,16
서울,중구,차대사람,차도통행중,56,1,60,23,28,9
서울,중구,차대사람,길가장자리구역통행중,23,0,23,9,12,2
서울,중구,차대사람,보도통행중,24,1,25,10,13,2
서울,중구,차대사람,기타,72,1,72,30,33,9
서울,중구,차대차,정면충돌,16,0,33,15,9,9
서울,중구,차대차,측면충돌,410,2,579,117,409,53
서울,중구,차대차,후진중충돌,13,0,17,2,13,2
서울,중구,차대차,추돌,277,3,437,70,319,48
서울,중구,차대차,기타,80,0,92,25,56,11
서울,중구,차량단독,전도,3,0,4,2,1,1
서울,중구,차량단독,전복,1,0,1,0,0,1
서울,중구,차량단독,공작물충돌,7,0,8,2,5,1
서울,중구,차량단독,주/정차차량 충돌,1,0,1,0,1,0
서울,중구,차량단독,기타,29,0,30,13,17,0
서울,용산구,차대사람,횡단중,126,4,126,62,60,4
서울,용산구,차대사람,차도통행중,26,1,27,9,18,0
서울,용산구,차대사람,길가장자리구역통행중,12,0,12,0,12,0
서울,용산구,차대사람,보도통행중,8,2,9,3,5,1
서울,용산구,차대사람,기타,123,1,133,44,79,10
서울,용산구,차대차,정면충돌,24,0,40,13,26,1
서울,용산구,차대차,측면충돌,399,0,569,100,435,34
서울,용산구,차대차,후진중충돌,6,0,10,3,7,0
서울,용산구,차대차,추돌,321,0,533,83,431,19
서울,용산구,차대차,기타,240,3,344,72,242,30
서울,용산구,차량단독,전도,1,1,0,0,0,0
서울,용산구,차량단독,전복,1,0,1,0,1,0
서울,용산구,차량단독,공작물충돌,16,2,19,10,6,3
서울,용산구,차량단독,기타,27,0,29,6,21,2
서울,성동구,차대사람,횡단중,104,4,106,51,48,7
서울,성동구,차대사람,차도통행중,11,0,12,2,8,2
서울,성동구,차대사람,길가장자리구역통행중,20,0,20,2,17,1
서울,성동구,차대사람,보도통행중,16,0,16,6,10,0
서울,성동구,차대사람,기타,120,1,126,26,91,9
서울,성동구,차대차,정면충돌,10,1,14,4,10,0
서울,성동구,차대차,측면충돌,289,0,398,87,282,29
서울,성동구,차대차,후진중충돌,10,0,13,1,11,1
서울,성동구,차대차,추돌,228,0,420,55,343,22
서울,성동구,차대차,기타,282,1,382,81,268,33
서울,성동구,차량단독,전도,5,0,6,3,3,0
서울,성동구,차량단독,공작물충돌,20,1,21,3,17,1
서울,성동구,차량단독,기타,28,1,27,5,18,4
서울,동대문구,차대사람,횡단중,156,4,158,85,65,8
서울,동대문구,차대사람,차도통행중,44,0,44,14,29,1
서울,동대문구,차대사람,길가장자리구역통행중,23,0,24,4,18,2
서울,동대문구,차대사람,보도통행중,18,0,21,9,11,1
서울,동대문구,차대사람,기타,251,5,257,100,137,20
서울,동대문구,차대차,정면충돌,38,0,71,21,47,3
서울,동대문구,차대차,측면충돌,449,3,584,154,397,33
서울,동대문구,차대차,후진중충돌,14,0,21,1,19,1
서울,동대문구,차대차,추돌,233,0,411,63,335,13
서울,동대문구,차대차,기타,419,2,511,124,325,62
서울,동대문구,차량단독,전도,2,0,2,1,0,1
서울,동대문구,차량단독,공작물충돌,10,0,14,4,7,3
서울,동대문구,차량단독,기타,42,0,42,17,18,7
서울,성북구,차대사람,횡단중,206,5,214,96,108,10
서울,성북구,차대사람,차도통행중,42,2,42,16,26,0
서울,성북구,차대사람,길가장자리구역통행중,20,0,20,5,14,1
서울,성북구,차대사람,보도통행중,22,1,24,11,11,2
서울,성북구,차대사람,기타,100,1,103,32,66,5
서울,성북구,차대차,정면충돌,37,0,68,16,44,8
서울,성북구,차대차,측면충돌,547,2,792,150,583,59
서울,성북구,차대차,후진중충돌,10,0,15,1,14,0
서울,성북구,차대차,추돌,236,0,427,61,353,13
서울,성북구,차대차,기타,145,1,201,37,150,14
서울,성북구,차량단독,전도,7,0,7,1,1,5
서울,성북구,차량단독,공작물충돌,15,2,14,6,5,3
서울,성북구,차량단독,기타,40,0,53,10,36,7
서울,도봉구,차대사람,횡단중,134,2,140,74,58,8
서울,도봉구,차대사람,차도통행중,24,0,24,12,10,2
서울,도봉구,차대사람,길가장자리구역통행중,14,0,14,3,10,1
서울,도봉구,차대사람,보도통행중,9,0,9,3,5,1
서울,도봉구,차대사람,기타,101,3,104,42,50,12
서울,도봉구,차대차,정면충돌,16,0,32,7,24,1
서울,도봉구,차대차,측면충돌,213,0,296,48,211,37
서울,도봉구,차대차,후진중충돌,4,0,4,1,3,0
서울,도봉구,차대차,추돌,88,0,159,21,114,24
서울,도봉구,차대차,기타,183,1,238,56,150,32
서울,도봉구,차량단독,전도,2,0,2,2,0,0
서울,도봉구,차량단독,전복,1,0,1,0,0,1
서울,도봉구,차량단독,공작물충돌,4,0,4,1,3,0
서울,도봉구,차량단독,기타,31,0,34,11,21,2
서울,은평구,차대사람,횡단중,126,2,128,61,60,7
서울,은평구,차대사람,차도통행중,53,1,52,15,36,1
서울,은평구,차대사람,길가장자리구역통행중,34,1,36,6,27,3
서울,은평구,차대사람,보도통행중,22,0,22,5,17,0
서울,은평구,차대사람,기타,132,3,135,50,77,8
서울,은평구,차대차,정면충돌,28,1,42,16,22,4
서울,은평구,차대차,측면충돌,399,1,646,121,444,81
서울,은평구,차대차,후진중충돌,17,0,28,6,22,0
서울,은평구,차대차,추돌,144,0,256,39,204,13
서울,은평구,차대차,기타,133,2,175,30,122,23
서울,은평구,차량단독,전도,5,0,5,0,2,3
서울,은평구,차량단독,공작물충돌,12,1,24,7,15,2
서울,은평구,차량단독,기타,29,0,31,11,16,4
서울,서대문구,차대사람,횡단중,149,3,155,72,60,23
서울,서대문구,차대사람,차도통행중,46,1,47,11,28,8
서울,서대문구,차대사람,길가장자리구역통행중,15,0,18,6,11,1
서울,서대문구,차대사람,보도통행중,17,0,18,7,10,1
서울,서대문구,차대사람,기타,98,0,106,30,64,12
서울,서대문구,차대차,정면충돌,35,1,60,9,40,11
서울,서대문구,차대차,측면충돌,360,0,524,97,362,65
서울,서대문구,차대차,후진중충돌,8,0,14,0,14,0
서울,서대문구,차대차,추돌,166,0,289,50,221,18
서울,서대문구,차대차,기타,90,0,111,28,57,26
서울,서대문구,차량단독,전도,3,0,3,1,0,2
서울,서대문구,차량단독,공작물충돌,12,0,19,4,9,6
서울,서대문구,차량단독,기타,34,0,39,11,14,14
서울,마포구,차대사람,횡단중,135,3,150,64,81,5
서울,마포구,차대사람,차도통행중,50,0,50,21,24,5
서울,마포구,차대사람,길가장자리구역통행중,21,0,22,1,18,3
서울,마포구,차대사람,보도통행중,21,0,21,6,14,1
서울,마포구,차대사람,기타,170,1,173,62,100,11
서울,마포구,차대차,정면충돌,27,1,45,17,26,2
서울,마포구,차대차,측면충돌,500,2,753,124,581,48
서울,마포구,차대차,후진중충돌,14,0,22,1,20,1
서울,마포구,차대차,추돌,351,0,658,77,540,41
서울,마포구,차대차,기타,328,1,480,73,363,44
